# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
tie lu 	鐵路	c=4 d=2.4781 t=12514
tie zhe 	貼着	c=1 d=1 t=14588
tie zi 	帖子	c=4 d=1.67928 t=7341
ting 	廳	c=1 d=1 t=10484
ting 	挺	c=3 d=1.10978 t=11159
ting 	聽	c=1 d=1.00104 t=5151
ting can 	挺慘	c=0 d=0.1 t=9262
ting can de 	挺慘的	c=1 d=1 t=9263
ting hao 	挺好	c=0 d=0.1 t=8754
ting hao le 	挺好了	c=1 d=1 t=8755
ting hua 	聽話	c=1 d=1 t=12275
ting jin 	挺進	c=0 d=0.1 t=1047
ting jin di lao 	挺進地牢	c=1 d=1 t=1048
ting neng 	挺能	c=0 d=0.1 t=1478
ting neng zhao 	挺能招	c=1 d=1 t=1479
ting shu fu 	挺舒服	c=1 d=1 t=4486
tong 	同	c=2 d=1.85642 t=1433
tong 	桶	c=1 d=1 t=2885
tong 	通	c=1 d=1 t=14515
tong bu 	同步	c=4 d=1 t=7932
tong bu shu ju 	同步數據	c=1 d=1 t=423
tong chang 	通常	c=1 d=1 t=6105
tong cheng 	同城	c=1 d=1 t=13846
tong guo 	通過	c=16 d=1.38298 t=12715
tong guo le hao le 	通過了好了	c=1 d=1 t=11096
tong hua 	通話	c=1 d=1 t=5244
tong ji 	統計	c=7 d=1 t=10914
tong kuan 	同款	c=1 d=1 t=14616
tong shi 	同事	c=1 d=1 t=14538
tong shi 	同時	c=4 d=1 t=8130
tong xin 	通信	c=1 d=1 t=9801
tong xue 	同學	c=1 d=1 t=9268
tong xue ni zai ma 	同學你在嗎	c=1 d=1 t=6511
tong yang 	同樣	c=1 d=1 t=3486
tong yi 	同一	c=1 d=1 t=1924
tong yi 	同意	c=1 d=1 t=12651
tong yi 	統一	c=1 d=1 t=13219
tong zhi 	統治	c=1 d=1 t=829
tong zhi 	通知	c=4 d=1 t=13790
tong zi 	童子	c=1 d=1 t=11397
tou 	偷	c=1 d=1 t=9715
tou 	投	c=3 d=1.52888 t=7274
tou 	頭	c=3 d=1 t=13025
tou di 	投遞	c=1 d=1 t=6623
tou feng 	頭風	c=1 d=1 t=12798
tou gu 	頭骨	c=1 d=1 t=4380
tou guang 	透光	c=1 d=1 t=5266
tou mo 	偷摸	c=1 d=1 t=4409
tou nao 	頭腦	c=1 d=1 t=12236
tou pai 	偷拍	c=3 d=1.9802 t=9718
tou zhi 	透支	c=1 d=1 t=9949
tu 	吐	c=1 d=1 t=11009
tu 	圖	c=28 d=1 t=11481
tu biao 	圖標	c=1 d=1 t=1737
tu cao 	吐槽	c=1 d=1 t=5836
tu le 	吐了	c=2 d=1.01463 t=10300
tu pan 	吐番	c=1 d=1 t=12051
tu pian 	圖片	c=9 d=1.0006 t=13672
tu xian 	凸顯	c=1 d=1 t=534
tu zhong 	圖中	c=1 d=1 t=12054
tu zhong 	途中	c=1 d=1 t=12053
tu zhong wen zi 	圖中文字	c=1 d=1 t=7927
tuan 	團	c=6 d=4.11177 t=10245
tuan dui 	團隊	c=0 d=0.1 t=9035
tuan jian 	團見	c=1 d=1 t=10162
tuan yuan 	團員	c=0 d=0.1 t=10831
tuan yuan zheng 	團員證	c=1 d=1 t=10832
tuan zhi bu 	團支部	c=5 d=2.04769 t=11028
tui 	推	c=4 d=0.381743 t=13246
tui 	腿	c=1 d=1 t=4412
tui 	退	c=1 d=1 t=13259
tui dao 	推導	c=1 d=1 t=4715
tui guang 	推廣	c=3 d=2.97516 t=8547
tui jian 	推薦	c=14 d=2.04116 t=12976
tui jian biao 	推薦表	c=1 d=1 t=12977
tui le 	退了	c=1 d=1 t=10233
tui li xiao shuo 	推理小說	c=1 d=1 t=2102
tui song 	推送	c=1 d=1 t=2199
tui yi xia 	推一下	c=1 d=1 t=13247
tuo 	妥	c=2 d=1.81058 t=7775
tuo yun 	託運	c=1 d=1 t=10535
wa 	哇	c=1 d=1 t=7829
wa 	挖	c=1 d=1 t=2844
wa ha ha 	娃哈哈	c=1 d=1 t=11156
wai 	外	c=1 d=1 t=13643
wai bao 	外包	c=1 d=1.0802 t=1803
wai bao gong si 	外包公司	c=1 d=1 t=1804
wai jian 	外鍵	c=1 d=1 t=8812
wai jie 	外界	c=1 d=1 t=8312
wai yu 	外語	c=7 d=5.17758 t=5811
wan 	完	c=6 d=1 t=14136
wan 	晚	c=1 d=1 t=4937
wan 	玩	c=7 d=2.35742 t=5432
wan 	萬	c=1 d=1 t=7781
wan bi 	完畢	c=1 d=1 t=1200
wan cheng 	完成	c=10 d=1.00036 t=12625
wan cheng shi jian 	完成時間	c=1 d=1 t=10875
wan chu 	玩出	c=0 d=0.1 t=1821
wan chu dian 	玩出點	c=1 d=1 t=1822
wan dian 	晚點	c=1 d=1 t=13035
wan er 	玩兒	c=1 d=1 t=1791
wan guo 	玩過	c=1 d=1 t=4965
wan jia 	玩家	c=2 d=1.00061 t=5130
wan jian 	晚間	c=1 d=1 t=3485
wan ju 	玩具	c=1 d=1 t=12871
wan le 	完了	c=4 d=0.536066 t=11908
wan mei 	完美	c=2 d=1 t=9548
wan quan 	完全	c=1 d=1 t=1114
wan shan 	完善	c=1 d=1 t=8188
wan shang 	晚上	c=4 d=1 t=14463
wan shi 	完事	c=3 d=1 t=13966
wan zhan 	玩占	c=1 d=1 t=3431
wan zheng 	完整	c=1 d=1 t=10808
wang 	往	c=1 d=1 t=14621
wang 	王	c=9 d=1.57879 t=12426
wang 	網	c=27 d=1.00001 t=11313
wang da 	旺達	c=1 d=1 t=1931
wang fu 	往復	c=1 d=1 t=1536
wang fu 	王府	c=0 d=0.1 t=1534
wang guo 	王國	c=1 d=1 t=4136
wang hui 	往回	c=2 d=1 t=11890
wang ji 	忘記	c=1 d=1 t=10543
wang ka 	網卡	c=1 d=1 t=8013
wang le 	忘了	c=3 d=1 t=14466
wang luo 	網絡	c=2 d=0.274645 t=9793
wang luo ti xi 	網絡體系	c=1 d=1 t=9794
wang pan 	網盤	c=3 d=2.5041 t=4084
wang shang kan 	網上看	c=0 d=0.1 t=13374
wang xia kan 	往下看	c=1 d=1 t=7686
wang ye 	網頁	c=2 d=1 t=12462
wang yi 	網易	c=1 d=1 t=12472
wang you 	網友	c=2 d=1.36059 t=1329
wang zhan 	網站	c=8 d=2.01484 t=3436
wang zhi 	網址	c=1 d=1 t=855
wei 	位	c=7 d=1 t=14562
wei 	未	c=2 d=1 t=7580
wei 	爲	c=100 d=1.00124 t=14321
wei bo 	微博	c=3 d=1.97046 t=3460
wei gou 	餵狗	c=0 d=0.1 t=2728
wei gou zu 	餵狗組	c=1 d=1 t=2729
wei hu 	維護	c=7 d=1 t=11165
wei jin 	圍巾	c=3 d=1.9956 t=5156
wei le 	爲了	c=3 d=1 t=10731
wei le zhao chu 	爲了找出	c=1 d=1 t=1562
wei pu 	維普	c=7 d=1.19526 t=13223
wei ruan 	微軟	c=2 d=1.98511 t=7964
wei shei me 	爲誰麼	c=1 d=1 t=9060
wei shen me 	爲什麼	c=28 d=1.00546 t=13289
wei tuo 	委託	c=3 d=1.0743 t=12557
wei tuo ren 	委託人	c=2 d=1.98511 t=12011
wei tuo shei 	委託誰	c=1 d=1 t=12038
wei xin 	微信	c=4 d=1.3588 t=14501
wei yi 	唯一	c=2 d=1 t=4705
wei zhi 	位置	c=12 d=1 t=14585
wei zhi 	未知	c=1 d=1 t=10911
wei zhi 	爲止	c=1 d=1 t=1447
wen 	問	c=12 d=1 t=12550
wen 	文	c=1 d=1 t=12000
wen bi 	文筆	c=1 d=1 t=9574
wen dang 	文檔	c=13 d=3.15545 t=14494
wen dang zhong 	文檔中	c=2 d=1.51171 t=14438
wen dao 	問道	c=2 d=1.625 t=9853
wen de 	問得	c=1 d=1 t=8770
wen ding 	穩定	c=2 d=1.38098 t=1229
wen jian 	文件	c=17 d=0.56693 t=14387
wen jian a ji 	文件阿吉	c=1 d=1 t=14042
wen jian jia 	文件夾	c=10 d=1.91851 t=14043
wen jian zai na 	文件在哪	c=1 d=1 t=14388
wen jian zhong 	文件中	c=1 d=1 t=260
wen le 	問了	c=2 d=1.11361 t=9212
wen ni 	問你	c=0 d=0.1 t=6512
wen ni yi xie 	問你一些	c=1 d=1 t=6513
wen shen me 	問什麼	c=1 d=1 t=7119
wen ti 	問題	c=22 d=1.6995 t=12856
wen ti le 	問題了	c=1 d=1 t=9844
wen ti ma 	問題嗎	c=2 d=1 t=14312
wen wen 	問問	c=2 d=1 t=10251
wen wen 	穩穩	c=1 d=1 t=9144
wen xia 	問下	c=1 d=1 t=13639
wen xian 	文獻	c=4 d=1.99005 t=7892
wen yi xia 	問一下	c=3 d=1 t=13864
wen zhang 	文章	c=1 d=1 t=1366
wen zi 	文字	c=4 d=1.0189 t=13674
wen zi da xiao 	文字大小	c=1 d=1 t=8603
wo 	我	c=164 d=5.72493 t=14620
wo 	握	c=4 d=1 t=9768
wo ba 	我爸	c=1 d=1 t=14364
wo bu 	我部	c=1 d=1 t=12081
wo bu zhi dao 	我不知道	c=1 d=1 t=13982
wo cao 	我曹	c=1 d=1 t=11353
wo de 	我的	c=2 d=1 t=8653
wo de ba 	我得把	c=1 d=1 t=3300
wo de zu guo 	我的祖國	c=0 d=0.1 t=1316
wo gan jue 	我感覺	c=1 d=1 t=5250
wo gei ni 	我給你	c=2 d=1 t=11154
wo hai 	我還	c=3 d=1.03598 t=14367
wo he 	我和	c=0 d=0.1 t=1316
wo he wo de zu guo 	我和我的祖國	c=1 d=1 t=1317
wo ji de 	我記得	c=2 d=1.68386 t=9936
wo jiu 	我就	c=1 d=1 t=9170
wo jiu kan 	我就看	c=1 d=1 t=11944
wo jue de 	我覺得	c=1 d=1 t=7103
wo kan 	我看	c=2 d=1.00001 t=13000
wo kan kan 	我看看	c=1 d=1 t=3306
wo le 	我了	c=0 d=0.1 t=14525
wo men 	我們	c=7 d=0.223687 t=14542
wo men de 	我們的	c=1 d=1 t=12320
wo men jiu shi xi huan 	我們就是喜歡	c=1 d=1 t=6632
wo men zhe 	我們這	c=1 d=1 t=14543
wo mu men 	我木門	c=1 d=1 t=11916
wo pa 	我怕	c=0 d=0.1 t=11101
wo pa ni 	我怕你	c=1 d=1 t=11102
wo qu 	我去	c=1 d=1 t=2533
wo shi 	我是	c=3 d=1 t=13782
wo shuo 	我說	c=1 d=1 t=9583
wo xian 	我先	c=1 d=1 t=8628
wo xian zai 	我現在	c=1 d=1 t=10143
wo xiang 	我想	c=1 d=1 t=7848
wo xiao 	我校	c=1 d=1 t=9014
wo xu yao 	我需要	c=0 d=0.1 t=3466
wo xu yao yi ge 	我需要一個	c=1 d=1 t=3467
wo ye 	我也	c=5 d=1 t=13675
wo ye bu dong 	我也不懂	c=1 d=1 t=9329
wo ye shi 	我也是	c=1 d=1 t=6799
wo yi wei 	我以爲	c=1 d=1 t=6094
wo you 	我有	c=1 d=1 t=5943
wo zai 	我在	c=2 d=1.02024 t=14609
wo zhe 	我這	c=2 d=1 t=12736
wo zhen de 	我真的	c=1 d=1 t=3418
wo zhi dao 	我知道	c=1 d=1 t=13546
wo zhi qian 	我之前	c=1 d=1 t=3323
wu 	務	c=32 d=3.4145 t=14109
wu 	悟	c=1 d=1 t=6978
wu di 	無敵	c=0 d=0.1 t=4476
wu di xing 	無敵星	c=1 d=1 t=4477
wu fa 	無法	c=5 d=1.00001 t=7721
wu fang 	無妨	c=1 d=1 t=11415
wu guan 	無關	c=1 d=1 t=1561
wu guo 	吳國	c=1 d=1 t=12267
wu han 	武漢	c=1 d=1 t=1106
wu li 	屋裏	c=1 d=1 t=12650
wu lin wai zhuan 	武林外傳	c=1 d=1 t=1592
wu nao 	無腦	c=1 d=1 t=1129
wu qi 	武器	c=15 d=3.31999 t=5321
wu qi hao 	武器好	c=1 d=1 t=4314
wu qing 	無情	c=2 d=1 t=14046
wu suo wei 	無所謂	c=1 d=1 t=5351
wu wu 	嗚嗚	c=0 d=0.1 t=10562
wu wu 	無誤	c=1 d=1 t=10564
wu wu wu 	嗚嗚嗚	c=1 d=1 t=4452
wu xian 	無線	c=2 d=1 t=8012
wu xiu 	午休	c=2 d=1.07887 t=13346
xi 	系	c=3 d=1.0986 t=13518
xi er 	希爾	c=1 d=1 t=1596
xi guan 	習慣	c=1 d=1 t=971
xi huan 	喜歡	c=5 d=1 t=12218
xi jin ping 	習近平	c=1 d=1 t=2581
xi li 	西里	c=1 d=1 t=2723
xi lie 	系列	c=1 d=1 t=13191
xi na 	吸納	c=0 d=0.1 t=10514
xi tong 	系統	c=35 d=1.01497 t=14479
xi tong de 	系統的	c=1 d=1 t=5659
xi tong she ji 	系統設計	c=3 d=1.1 t=7114
xi tong shi xian 	系統實現	c=1 d=1 t=7129
xi wang 	希望	c=3 d=1.01813 t=9764
xi xue 	吸血	c=1 d=1 t=3862
xi yi fen 	洗衣粉	c=1 d=1 t=1877
xi yong 	習用	c=1 d=1 t=8158
xia 	下	c=18 d=1.03823 t=12747
xia bi 	下筆	c=0 d=0.1 t=7606
xia bi na 	下筆那	c=1 d=1 t=7607
xia bian 	下邊	c=1 d=1 t=2364
xia bu 	遐布	c=1 d=1 t=3202
xia chang 	下場	c=1 d=1 t=12215
xia fang 	下方	c=1 d=1 t=13525
xia ji 	下集	c=1 d=1 t=6234
xia le 	下了	c=2 d=1.00005 t=5227
xia si wo le 	下死我了	c=1 d=1 t=7728
xia wan le 	下完了	c=1 d=1 t=3075
xia wei 	下爲	c=1 d=1 t=3864
xia wu 	下午	c=2 d=1 t=8943
xia zai 	下載	c=13 d=1.00664 t=9740
xia zai fu jian 	下載附件	c=1 d=1 t=1717
xia zai le 	下載了	c=1 d=1 t=6413
xia zhou 	下週	c=1 d=0.316536 t=10421
xia zhou ba 	下週吧	c=1 d=1 t=10422
xia zhou yi 	下週一	c=2 d=1.00289 t=9891
xia zi 	瞎子	c=1 d=1 t=12288
xian 	先	c=14 d=1.35019 t=13897
xian 	弦	c=3 d=2.94099 t=2596
xian 	線	c=7 d=1 t=12024
xian 	縣	c=3 d=1.03011 t=11737
xian ba 	先把	c=0 d=0.1 t=9995
xian ba zhe ge 	先把這個	c=1 d=1 t=9996
xian chang 	現場	c=1 d=1 t=9191
xian cheng 	線程	c=1 d=1 t=9799
xian guan 	縣官	c=1 d=1 t=12432
xian hou 	先後	c=1 d=1 t=5818
xian ka 	顯卡	c=1 d=1 t=11189
xian mu 	羨慕	c=1 d=1 t=8822
xian shi 	顯示	c=6 d=1.99421 t=8455
xian shi bu chu lai 	顯示不出來	c=1 d=1 t=7665
xian shi qi 	顯示器	c=1 d=1 t=14022
xian shuo 	先說	c=0 d=0.1 t=9197
xian shuo le 	先說了	c=1 d=1 t=9198
xian xing 	線性	c=2 d=1.00096 t=7937
xian yong 	先用	c=1 d=1 t=3298
xian you 	現有	c=2 d=1.93239 t=8168
xian zai 	現在	c=23 d=1.01454 t=12664
xian zai de 	現在的	c=1 d=1 t=10605
xian zhi 	限制	c=5 d=1 t=8499
xian zhuang 	現狀	c=2 d=1 t=11000
xiang 	像	c=2 d=1 t=7483
xiang 	向	c=2 d=1.9802 t=6557
xiang 	巷	c=2 d=1.00002 t=13734
xiang 	想	c=21 d=2.19806 t=14111
xiang 	翔	c=3 d=2.92644 t=2607
xiang ban fa 	想辦法	c=1 d=1 t=11783
xiang bu dao 	想不到	c=1 d=1 t=839
xiang chi 	想喫	c=1 d=1 t=7741
xiang da 	想打	c=1 d=1 t=3508
xiang dao 	想到	c=0 d=0.1 t=5240
xiang dao de 	想到的	c=1 d=1 t=5241
xiang deng 	相等	c=1 d=1 t=1039
xiang dui 	相對	c=2 d=1.00056 t=1852
xiang guan 	相關	c=14 d=1.92314 t=14509
xiang guan de 	相關的	c=1 d=1 t=6309
xiang guan gong neng 	相關功能	c=1 d=1 t=7217
xiang guan ji shu 	相關技術	c=1 d=1 t=8026
xiang guan lian 	相關聯	c=1 d=1 t=8244
xiang hu 	相互	c=1 d=1 t=8419
xiang ji 	相機	c=1 d=1 t=13373
xiang jiao 	橡膠	c=1 d=1 t=4449
xiang jie 	詳解	c=1 d=1 t=4924
xiang lin 	相鄰	c=0 d=0.1 t=1387
xiang lin yuan su 	相鄰元素	c=1 d=1 t=1388
xiang mu 	項目	c=10 d=1.00018 t=9841
xiang nin 	向您	c=1 d=1 t=13804
xiang qian kan 	向前看	c=0 d=0.1 t=6810
xiang qing 	詳情	c=1 d=1 t=2168
xiang su 	像素	c=2 d=1.25284 t=13753
xiang wen 	想問	c=1 d=0.1 t=14452
xiang wen de 	想問的	c=1 d=1 t=14453
xiang xi 	詳細	c=1 d=1 t=5217
xiang xi xin xi 	詳細信息	c=0 d=0.1 t=2128
xiang yao 	想要	c=2 d=1 t=6305
xiang ying 	相應	c=1 d=1 t=289
xiang zhi dao 	想知道	c=1 d=1 t=8573
xiang zhi jie 	想直接	c=1 d=1 t=10256
xiang zhong 	相中	c=1 d=1 t=11530
xiang zi 	箱子	c=0 d=0.1 t=4158
xiang zi nan hai 	箱子男孩	c=1 d=1 t=4159
xiang zou 	想走	c=1 d=1 t=14338
xiang zuo zhuan zou 	向左轉走	c=0 d=0.1 t=2128
xiang zuo zhuan zou chi chi chi chi chi chi xu xing xiang xi xin xi xing xing xi xing xing 	向左轉走叱吒叱叱吒持續性詳細信息惺惺惜惺惺	c=1 d=1 t=2129
xiao 	小	c=13 d=1 t=8032
xiao 	校	c=1 d=1 t=9435
xiao 	笑	c=3 d=1.73712 t=12184
xiao 	蕭	c=0 d=0.1 t=547
xiao du shui 	消毒水	c=1 d=1 t=1873
xiao fang yuan 	消防員	c=1 d=1 t=5535
xiao ge 	小哥	c=1 d=1 t=13841
xiao guo 	效果	c=1 d=1 t=1050
xiao hai 	小孩	c=0 d=0.1 t=12254
xiao hua 	笑話	c=2 d=1.99501 t=3919
xiao huo ban 	小夥伴	c=1 d=1 t=3517
xiao jie 	小姐	c=1 d=1 t=11489
xiao jing mo 	蕭井陌	c=2 d=1.99501 t=549
xiao lao tou 	小老頭	c=1 d=1 t=9146
xiao lv 	效率	c=1 d=1 t=12532
xiao ma 	小馬	c=1 d=1 t=12036
xiao mei nv 	小美女	c=1 d=1 t=8557
xiao shi hou 	小時候	c=1 d=1 t=12217
xiao si 	小四	c=1 d=1 t=12888
xiao wai 	校外	c=2 d=1 t=2704
xiao xi 	消息	c=1 d=1 t=14030
xiao xie 	小寫	c=1 d=1 t=12457
xiao xie 	消協	c=1 d=1 t=12456
xiao xin 	小心	c=1 d=1 t=10101
xiao yu 	小於	c=2 d=1.97531 t=13467
xiao yuan 	校園	c=1 d=1.06561 t=10716
xiao yuan feng 	校園風	c=1 d=1 t=10717
xiao zhao 	小趙	c=1 d=1 t=1631
xiao zhao 	校招	c=3 d=1 t=7329
xie 	些	c=2 d=1 t=13772
xie 	寫	c=22 d=1.37198 t=14319
xie 	屑	c=1 d=1 t=12323
xie bu dao 	寫不到	c=1 d=1 t=5789
xie dao 	寫到	c=1 d=1 t=7913
xie de 	寫的	c=7 d=1.0049 t=10675
xie guo 	寫過	c=0 d=0.1 t=4892
xie guo de 	寫過的	c=1 d=1 t=4893
xie hao 	寫好	c=1 d=1 t=12981
xie le 	謝了	c=1 d=1 t=6812
xie lou 	泄漏	c=3 d=1.97046 t=3456
xie ru 	寫入	c=1 d=1 t=14522
xie shang 	協商	c=1 d=1 t=11821
xie shang 	寫上	c=1 d=1 t=13526
xie shen me 	些什麼	c=2 d=1.00681 t=5882
xie wan 	寫完	c=1 d=1 t=128
xie xie 	屑屑	c=1 d=1 t=3170
xie xie 	謝謝	c=12 d=0.100043 t=14341
xie xie lao ma 	謝謝老媽	c=1 d=1 t=14342
xie xie lao shi 	謝謝老師	c=1 d=1 t=8952
xie yi 	協議	c=2 d=1 t=14193
xie yi shu 	協議書	c=2 d=1.08781 t=13838
xie zhen 	寫真	c=1 d=1 t=583
xin 	信	c=1 d=1 t=4304
xin 	心	c=2 d=0.1 t=10294
xin 	新	c=15 d=1.66722 t=12552
xin 	昕	c=1 d=1 t=5290
xin 	欣	c=1 d=1 t=1890
xin de 	新的	c=1 d=1.0001 t=7644
xin de ji shu 	新的技術	c=1 d=1 t=6262
xin dong xi 	新東西	c=1 d=1 t=5714
xin ji shu 	新技術	c=1 d=1 t=5799
xin ku le 	辛苦了	c=1 d=1 t=11296
xin li 	心裏	c=2 d=1.00001 t=11536
xin niang 	新娘	c=1 d=1 t=9694
xin ran 	欣然	c=0 d=0.1 t=5288
xin ren 	信任	c=1 d=1 t=4468
xin shou 	新手	c=2 d=1.9802 t=4315
xin tai 	心態	c=1 d=0.258025 t=9330
xin xi 	信息	c=29 d=1.11894 t=14477
xin xi biao 	信息表	c=1 d=1 t=8040
xin xi ji shu 	信息技術	c=1 d=1 t=84
xin xi jia mi 	信息加密	c=2 d=1 t=8676
xin xi wang 	信息網	c=1 d=1 t=13943
xin xiang 	心想	c=0 d=0.1 t=4320
xin xiang zhe 	心想着	c=1 d=1 t=4321
xin yong 	信用	c=2 d=1.17728 t=13978
xin yong ka 	信用卡	c=2 d=1.82696 t=2483
xin yuan jie yi 	新垣結衣	c=2 d=1.92774 t=597
xin zhi shi 	新知識	c=1 d=1 t=5801
xin zi 	薪資	c=1 d=1.0752 t=9637
xing 	型	c=1 d=1 t=12488
xing 	性	c=2 d=1 t=11386
xing 	星	c=1 d=1.00048 t=5543
xing 	興	c=4 d=1.00357 t=11554
xing 	行	c=16 d=1.3065 t=14590
xing bu xing 	行不行	c=2 d=1 t=11269
xing cheng 	行程	c=1 d=1 t=10679
xing fu 	幸福	c=1 d=1.09005 t=13763
xing kong 	星空	c=1 d=1 t=14035
xing le 	醒了	c=1 d=1 t=11502
xing li 	行李	c=2 d=1 t=13951
xing ma 	行嗎	c=1 d=1 t=12018
xing ming 	姓名	c=1 d=1 t=13529
xing neng 	性能	c=3 d=1.00133 t=11625
xing neng ce shi 	性能測試	c=2 d=1.00089 t=10524
xing qu 	興趣	c=1 d=1 t=7266
xing ren 	興仁	c=4 d=1.00741 t=14370
xing ren 	行人	c=1 d=1 t=10208
xing ren cun 	興仁村	c=4 d=2.96887 t=11027
xing ren zhen 	興仁鎮	c=6 d=1 t=13667
xing shi 	姓氏	c=1 d=1 t=12195
xing shi 	形式	c=1 d=1 t=6055
xing tai 	形態	c=1 d=1 t=3964
xing xing xi xing xing 	惺惺惜惺惺	c=0 d=0.1 t=2128
xing yun liu shui 	行雲流水	c=1 d=1 t=2754
xing zheng 	行政	c=1 d=1 t=14579
xing zhi 	性質	c=1 d=1 t=13429
xing zhuang 	形狀	c=1 d=1 t=6137
xiong 	兇	c=1 d=1 t=6818
xiong di 	兄弟	c=1 d=1 t=12316
xiong di men 	兄弟們	c=1 d=1 t=9132
xiong mao 	熊貓	c=1 d=1 t=9459
xiu 	秀	c=1 d=0.108027 t=11590
xiu cheng 	修成	c=1 d=1 t=10981
xiu gai 	修改	c=14 d=1.48218 t=13116
xiu gai mi ma 	修改密碼	c=1 d=1 t=436
xiu xiu 	修修	c=0 d=0.1 t=11100
xiu xiu ma 	修修嗎	c=1 d=1 t=11101
xu 	徐	c=18 d=1.1307 t=12423
xu 	旭	c=3 d=1.98187 t=13960
xu hao 	序號	c=1 d=1 t=8042
xu kong 	虛空	c=0 d=0.1 t=5681
xu kong jian sheng 	虛空劍聖	c=1 d=1 t=5682
xu lie 	序列	c=4 d=3.5771 t=1444
xu ming 	虛名	c=1 d=1 t=12170
xu ni ji 	虛擬機	c=1 d=1 t=9401
xu qiu 	需求	c=6 d=1.00004 t=8354
xu qiu fen xi 	需求分析	c=3 d=2.48282 t=6084
xu shu 	徐庶	c=2 d=1.52729 t=11494
xu yao 	需要	c=28 d=0.21187 t=14630
xu yao shen qing 	需要申請	c=1 d=1 t=14577
xu yao shi tong 	需要視同	c=1 d=1 t=14631
xuan 	璇	c=2 d=1.99005 t=3994
xuan 	選	c=2 d=1.01337 t=13649
xuan chuan 	宣傳	c=1 d=1 t=4048
xuan le 	選了	c=1 d=1 t=3345
xuan ti 	選題	c=3 d=1.95451 t=399
xuan xiang 	選項	c=1 d=1 t=5599
xuan yun 	眩暈	c=1 d=1 t=4019
xuan ze 	選擇	c=8 d=1 t=8611
xuan zhuan 	旋轉	c=2 d=1.10593 t=6136
xue 	學	c=4 d=1.9901 t=9543
xue 	血	c=2 d=1 t=12331
xue 	雪	c=3 d=1.98538 t=11288
xue fen 	學分	c=1 d=1 t=10490
xue guo 	雪國	c=1 d=1 t=9738
xue ji 	學籍	c=1 d=1 t=10849
xue li 	學歷	c=1 d=1 t=13508
xue mei 	學妹	c=1 d=1 t=9720
xue shen me 	學什麼	c=1 d=1 t=9540
xue sheng 	學生	c=5 d=0.103247 t=14151
xue sheng mei 	學生妹	c=1 d=1 t=9483
xue sheng shou li 	學生手裏	c=1 d=1 t=14152
xue sheng zheng 	學生證	c=2 d=1.63445 t=13530
xue shu 	學術	c=6 d=1.71181 t=7886
xue wei 	學位	c=3 d=1 t=13509
xue wei zheng 	學位證	c=0 d=0.1 t=14401
xue wei zheng le 	學位證了	c=1 d=1 t=14402
xue xi 	學習	c=4 d=0.1 t=9551
xue xi ba 	學習吧	c=1 d=1 t=9552
xue xi yi bo 	學習一波	c=1 d=1 t=5279
xue xi yu wang 	學習慾望	c=1 d=1 t=5804
xue xiao 	學校	c=9 d=1.06424 t=13833
xue xiao de ma 	學校的嗎	c=1 d=1 t=13299
xue xiao le 	學校了	c=1 d=1 t=13422
xue xin 	學信	c=1 d=1 t=8640
xue yi 	學醫	c=2 d=1 t=10975
xue yuan 	學院	c=12 d=4.95222 t=13156
xun 	尋	c=2 d=1 t=12322
xun 	迅	c=1 d=1 t=3778
xun huan 	循環	c=2 d=2.02243 t=1032
xun huan zhong 	循環中	c=1 d=1 t=1012
xun lei 	迅雷	c=2 d=1 t=8840
xun si 	尋思	c=2 d=1.00151 t=3274
xun wen 	詢問	c=0 d=0.1 t=13838
xun wen le 	詢問了	c=1 d=1 t=13839
xun xie 	浚渫	c=0 d=0.1 t=12320
xun xie zi shen 	浚渫自身	c=1 d=1 t=12321
ya 	呀	c=2 d=1 t=4548
ya 	雅	c=1 d=1 t=12075
ya gao 	牙膏	c=1 d=1 t=13018
ya li 	壓力	c=1 d=1 t=6596
ya ma xun 	亞馬遜	c=1 d=1 t=5045
ya suo bao 	壓縮包	c=1 d=1 t=8639
ya zhou 	亞洲	c=1 d=1 t=9708
yan 	演	c=5 d=1.01021 t=13261
yan 	鹽	c=2 d=1.956 t=12460
yan bian 	延邊	c=1 d=1 t=2715
yan chi 	延遲	c=2 d=1.93239 t=3261
yan fa 	研發	c=4 d=1.06864 t=8051
yan jiu 	研究	c=1 d=0.737628 t=405
yan jiu sheng 	研究生	c=1 d=1 t=7477
yan jiu si lu 	研究思路	c=1 d=1 t=406
yan jiu yuan 	研究院	c=1 d=1 t=82
yan kuang 	眼眶	c=1 d=1 t=5923
yan lei 	眼淚	c=1 d=1 t=6810
yan lei 	豔蕾	c=1 d=1 t=10887
yan qi 	延期	c=1 d=1 t=8086
yan shi 	演示	c=3 d=1.77105 t=9205
yan yuan 	演員	c=2 d=1.02858 t=12102
yan yue 	偃月	c=0 d=0.1 t=12148
yan zheng 	驗證	c=12 d=1 t=12461
yan zheng ma 	驗證碼	c=3 d=1.00001 t=12466
yang 	楊	c=1 d=1.01444 t=11279
yang 	樣	c=2 d=1 t=8998
yang de 	養的	c=0 d=0.1 t=11057
yang tie jun 	楊鐵軍	c=1 d=1 t=10893
yao 	咬	c=2 d=1.98511 t=2060
yao 	要	c=50 d=1.69476 t=14594
